student_id,date,sleep,stress,mood,energy,screenTime,workHours,activity,social
u00,2013-03-25,8.0,3.2,6.1,6.9,5.8,4.5,16.9,5.5
u00,2013-03-26,7.5,3.2,6.1,6.9,5.8,5.5,16.9,5.5
u00,2013-03-27,8.0,1,6.1,8.1,6.1,5.5,17.6,4.9
u00,2013-03-28,6.5,4.2,6.1,6.5,3.6,6.5,22.9,4.9
u00,2013-03-29,6.0,4.4,6.1,6.4,8.7,8.5,21.8,5.4
u00,2013-03-30,7.3,7.8,6.1,4.7,6.1,7.5,4.5,5.6
u00,2013-03-31,9.0,7.8,6.1,4.7,7.4,4.5,43.6,9.3
u00,2013-04-01,3.0,10,6.1,3.6,4.9,5.5,16.1,6.3
u00,2013-04-02,7.3,4.0,6.1,6.6,7.4,8.5,8.1,6.2
u00,2013-04-03,5.0,1.8,6.1,7.7,10,7.5,24.2,5.7
u00,2013-04-04,10.0,4.0,6.1,6.6,5.8,4.5,16.1,4.2
u00,2013-04-05,4.0,4.0,6.1,6.6,4.9,14,30.0,5.7
u00,2013-04-06,9.0,1,6.1,8.1,7.4,10.5,16.4,6.6
u00,2013-04-07,9.0,10,6.1,3.6,6.1,4.5,5.5,5.6
u00,2013-04-08,4.5,5.5,6.1,5.8,7.4,11.5,21.5,6.0
u00,2013-04-09,6.0,5.5,6.1,5.8,4.9,4.5,13.6,4.7
u00,2013-04-10,5.0,1,6.1,8.1,4.9,11.5,18.5,5.2
u00,2013-04-11,8.0,4.0,6.1,6.6,3.6,4.5,10.7,5.6
u00,2013-04-12,3.0,4.0,6.1,6.6,6.1,11.5,19.1,6.2
u00,2013-04-13,7.3,3.2,6.1,6.9,2.3,4.5,5.3,6.1
u00,2013-04-14,10.7,4.0,6.1,6.6,10,10.5,0,4.1
u00,2013-04-15,3.0,5.5,6.1,5.8,7.4,4.5,18.8,6.3
u00,2013-04-16,7.3,5.5,6.1,5.8,7.4,13.5,2.7,5.6
u00,2013-04-17,3.0,5.5,6.1,5.8,4.9,4.5,13.8,5.5
u00,2013-04-18,7.3,7.8,6.1,4.7,4.9,9.5,5.3,3.1
u00,2013-04-19,7.3,4.0,6.1,6.6,4.9,4.5,19.1,7.5
u00,2013-04-20,8.0,4.0,6.1,6.6,6.1,11.5,35.4,6.7
u00,2013-04-21,8.0,4.0,6.1,6.6,6.1,4.5,5.2,5.0
u00,2013-04-22,3.0,4.0,6.1,6.6,6.1,4.5,11.4,3.1
u00,2013-04-23,6.0,1,6.1,8.1,8.7,4.5,10.7,6.4
u00,2013-04-24,7.3,4.0,6.1,6.6,3.6,11.5,11.1,6.1
u00,2013-04-25,7.0,1,2.1,6.1,6.1,4.5,13.6,5.5
u00,2013-04-26,7.3,1,6.1,8.1,7.4,14,8.1,6.5
u00,2013-04-27,7.3,4.0,6.1,6.6,6.1,4.5,29.6,6.3
u00,2013-04-28,7.3,1,6.1,8.1,7.4,4.5,13.5,4.7
u00,2013-04-29,7.3,3.2,6.1,6.9,6.1,4.5,27.7,6.5
u00,2013-04-30,7.3,5.5,6.1,5.8,4.9,4.5,12.9,5.3
u00,2013-05-01,3.0,4.0,6.1,6.6,8.7,4.5,8.1,6.5
u00,2013-05-02,7.3,4.0,6.1,6.6,2.3,4.5,12.0,3.0
u00,2013-05-03,7.3,4.0,6.1,6.6,8.7,4.5,25.3,5.2
u00,2013-05-04,7.3,4.0,6.1,6.6,3.6,4.5,36.0,5.9
u00,2013-05-05,10.0,4.0,6.1,6.6,4.9,4.5,49.8,5.6
u00,2013-05-06,9.0,4.0,6.1,6.6,7.4,4.5,29.6,6.4
u00,2013-05-07,7.3,1,6.1,8.1,7.4,4.5,19.1,10
u00,2013-05-08,6.0,5.5,6.1,5.8,7.4,4.5,12.2,4.1
u00,2013-05-09,10.0,7.8,6.1,4.7,7.4,4.5,15.0,4.2
u00,2013-05-10,11.0,4.0,6.1,6.6,6.1,4.5,18.8,5.9
u00,2013-05-11,7.3,4.0,6.1,6.6,4.9,4.5,5.2,3.9
u00,2013-05-12,7.3,4.0,6.1,6.6,6.1,4.5,10.7,5.7
u00,2013-05-13,14,4.0,6.1,6.6,3.6,4.5,18.8,6.3
u00,2013-05-14,7.3,4.0,6.1,6.6,6.1,4.5,10.6,4.0
u00,2013-05-15,7.3,4.4,10,8.3,4.9,4.5,10.7,7.0
u00,2013-05-16,10.0,7.8,7.8,5.5,2.3,4.5,9.3,6.3
u00,2013-05-17,9.0,7.8,7.8,5.5,4.9,4.5,11.6,8.0
u00,2013-05-18,7.3,7.8,6.1,4.7,5.8,4.5,8.2,1.8
u00,2013-05-19,7.3,4.0,6.1,6.6,4.9,4.5,11.2,2.2
u00,2013-05-20,7.3,1,6.1,8.1,5.8,4.5,0,2.3
u00,2013-05-21,7.3,3.2,5.5,6.6,5.8,4.5,16.9,5.5
u00,2013-05-22,7.3,1,5.5,7.8,5.8,4.5,16.9,5.5
u00,2013-05-23,9.0,1,5.5,7.8,4.9,4.5,38.6,4.4
u00,2013-05-24,9.0,1,6.1,8.1,2.3,4.5,2.9,4.0
u00,2013-05-25,7.0,3.2,6.1,6.9,2.3,4.5,20.0,6.5
u00,2013-05-26,12.0,4.0,6.1,6.6,3.6,4.5,3.0,2.7
u00,2013-05-27,7.3,4.0,6.1,6.6,4.9,4.5,5.3,7.4
u00,2013-05-28,9.0,4.0,6.1,6.6,7.4,4.5,13.4,6.2
u00,2013-05-29,1.0,4.0,6.1,6.6,5.8,4.5,19.1,6.8
u00,2013-05-30,7.3,4.0,6.1,6.6,3.6,4.5,45.0,4.4
u00,2013-05-31,10.0,4.0,6.1,6.6,8.7,4.5,24.2,6.8
u00,2013-06-01,7.3,4.0,6.1,6.6,2.3,4.5,51.4,2.8
u00,2013-06-02,9.0,4.0,6.1,6.6,5.8,4.5,16.9,5.5
u00,2013-06-03,7.3,1,6.1,8.1,5.8,4.5,16.9,5.5
u00,2013-08-07,7.3,1,5.5,7.8,5.8,4.5,16.9,5.5
u00,2013-08-08,7.3,5.5,6.1,5.8,5.8,4.5,16.9,5.5
u00,2013-08-10,7.3,1,5.5,7.8,5.8,4.5,16.9,5.5
u00,2013-08-16,7.3,3.2,6.1,6.9,5.8,4.5,16.9,5.5
u01,2013-03-27,7.0,7.8,7.8,5.5,4.9,7.5,10.6,3.0
u01,2013-03-28,10.0,4.0,7.8,7.4,6.1,9.5,13.2,4.3
u01,2013-03-29,7.0,4.4,7.8,7.2,7.4,4.5,19.1,6.7
u01,2013-03-30,8.0,10,7.8,4.4,8.7,8.5,8.1,6.3
u01,2013-03-31,8.0,1,7.8,8.9,6.1,4.5,10.6,4.6
u01,2013-04-01,7.0,3.2,7.8,7.8,6.1,4.5,19.1,5.7
u01,2013-04-02,8.0,4.0,7.8,7.4,2.3,5.5,7.9,4.1
u01,2013-04-03,6.0,1,7.8,8.9,8.7,11.5,10.7,6.4
u01,2013-04-04,8.0,7.8,7.8,5.5,3.6,7.5,16.1,8.0
u01,2013-04-05,7.0,7.8,7.8,5.5,10,5.5,18.8,6.5
u01,2013-04-06,8.0,8.9,7.8,4.9,6.1,4.5,10.7,6.9
u01,2013-04-07,9.0,1,7.8,8.9,6.1,4.5,21.2,6.8
u01,2013-04-08,6.0,4.0,7.8,7.4,6.1,8.0,19.1,7.7
u01,2013-04-09,7.3,1,7.8,8.9,4.9,6.5,7.9,4.9
u01,2013-04-10,6.5,3.2,7.8,7.8,8.7,12.5,7.9,7.8
u01,2013-04-11,6.0,1,7.8,8.9,10,4.5,18.5,5.9
u01,2013-04-12,5.0,1,7.8,8.9,8.7,14,10.9,8.6
u01,2013-04-13,9.0,4.0,7.8,7.4,7.4,4.5,13.2,6.9
u01,2013-04-14,8.0,7.8,7.8,5.5,6.1,4.5,2.6,5.6
u01,2013-04-15,7.3,1,7.8,8.9,4.9,6.0,21.5,5.6
u01,2013-04-16,7.3,1,7.8,8.9,4.9,6.5,7.9,4.9
u01,2013-04-17,6.0,1,7.8,8.9,7.4,4.5,7.9,7.8
u01,2013-04-18,8.0,4.0,7.8,7.4,8.7,14,8.1,6.0
u01,2013-04-19,7.0,7.8,7.8,5.5,7.4,4.5,18.8,8.9
u01,2013-04-20,7.3,7.8,7.8,5.5,2.3,6.5,12.6,3.8
u01,2013-04-21,7.0,4.0,7.8,7.4,7.4,4.5,16.1,5.2
u01,2013-04-22,7.0,4.0,7.8,7.4,6.1,6.0,10.7,6.2
u01,2013-04-23,7.0,4.0,7.8,7.4,8.7,4.5,10.7,5.3
u01,2013-04-24,7.3,4.0,7.8,7.4,4.9,6.0,3.2,3.9
u01,2013-04-25,7.3,4.0,7.8,7.4,6.1,4.5,13.4,7.5
u01,2013-04-26,7.3,1,7.8,8.9,6.1,4.5,8.1,7.4
u01,2013-04-27,7.3,4.0,7.8,7.4,7.4,4.5,32.7,7.0
u01,2013-04-28,7.3,3.2,7.8,7.8,4.9,4.5,5.3,5.8
u01,2013-04-29,7.3,5.5,7.8,6.6,6.1,4.5,13.2,2.5
u01,2013-04-30,7.3,3.2,7.8,7.8,4.9,6.0,5.2,6.0
u01,2013-05-01,7.3,4.0,7.8,7.4,4.9,4.5,7.9,6.0
u01,2013-05-02,7.3,4.0,7.8,7.4,7.4,4.5,18.8,1.3
u01,2013-05-03,7.3,4.0,7.8,7.4,8.7,4.5,7.9,6.2
u01,2013-05-04,7.3,4.0,7.8,7.4,3.6,4.5,7.7,5.2
u01,2013-05-05,7.3,4.0,7.8,7.4,5.9,4.5,11.8,6.0
u01,2013-05-06,7.3,4.0,7.8,7.4,5.9,4.5,11.8,6.0
u01,2013-05-07,7.3,1,7.8,8.9,5.9,6.0,0,1.4
u01,2013-05-08,7.3,4.0,7.8,7.4,7.4,4.5,7.9,6.1
u01,2013-05-09,7.3,4.0,7.8,7.4,3.6,4.5,13.4,10
u01,2013-05-10,7.3,4.0,7.8,7.4,3.6,4.5,15.9,5.4
u01,2013-05-11,7.3,4.0,7.8,7.4,5.9,4.5,5.5,9.1
u01,2013-05-12,7.3,4.0,7.8,7.4,5.9,4.5,49.7,5.9
u01,2013-05-13,7.3,4.0,7.8,7.4,3.6,6.0,5.4,5.6
u01,2013-05-14,7.3,4.0,7.8,7.4,3.6,4.5,7.9,6.8
u01,2013-05-15,7.3,4.0,7.8,7.4,6.1,4.5,5.3,6.5
u01,2013-05-16,7.3,4.0,7.8,7.4,3.6,4.5,8.2,9.2
u01,2013-05-17,7.3,4.0,7.8,7.4,3.6,4.5,16.1,5.5
u01,2013-05-18,7.3,4.0,7.8,7.4,4.9,4.5,13.4,8.4
u01,2013-05-19,7.3,4.0,7.8,7.4,4.9,4.5,10.6,2.6
u01,2013-05-20,7.3,4.0,7.8,7.4,3.6,4.5,5.2,6.0
u01,2013-05-21,7.3,4.0,7.8,7.4,2.3,4.5,2.6,6.0
u01,2013-05-22,7.3,4.0,7.8,7.4,3.6,4.5,13.2,6.0
u01,2013-05-23,7.3,4.0,7.8,7.4,7.4,4.5,18.8,6.0
u01,2013-05-24,7.3,4.0,7.8,7.4,5.9,4.5,7.2,6.0
u01,2013-05-25,7.3,4.0,7.8,7.4,5.9,4.5,11.0,4.0
u01,2013-05-26,7.3,4.0,7.8,7.4,4.9,4.5,13.6,8.9
u01,2013-05-27,7.3,4.0,7.8,7.4,3.6,4.5,5.3,6.8
u01,2013-05-28,7.3,4.0,7.8,7.4,7.4,4.5,5.3,6.2
u01,2013-05-29,7.3,4.0,7.8,7.4,6.1,6.0,8.0,3.9
u01,2013-05-30,7.3,4.0,7.8,7.4,5.9,4.5,11.8,6.0
u01,2013-05-31,7.3,4.0,7.8,7.4,5.9,4.5,11.8,6.0
u01,2013-06-01,7.3,4.0,7.8,7.4,5.9,4.5,11.8,6.0
u01,2013-06-02,7.3,4.0,7.8,7.4,5.9,4.5,11.8,6.0
u01,2013-06-03,7.3,4.0,7.8,7.4,5.9,4.5,11.8,6.0
u01,2013-06-04,7.3,4.0,7.8,7.4,5.9,6.0,11.8,6.0
u01,2013-06-05,7.3,4.0,7.8,7.4,5.9,6.0,11.8,6.0
u02,2013-03-27,8.0,3.6,5.5,6.5,2.3,5.5,7.1,4.4
u02,2013-03-28,7.0,7.8,5.5,4.4,4.2,7.5,18.8,3.4
u02,2013-03-29,7.0,1,5.5,7.8,4.9,8.5,10.7,3.5
u02,2013-03-30,8.0,7.8,5.5,4.4,4.9,6.5,13.4,5.6
u02,2013-03-31,7.0,7.8,5.5,4.4,2.3,4.5,8.2,6.4
u02,2013-04-01,7.0,10,5.5,3.2,4.9,4.5,2.6,5.0
u02,2013-04-02,8.0,3.6,5.5,6.5,6.1,10.0,10.6,4.8
u02,2013-04-03,8.0,1,5.5,7.8,3.6,7.5,13.2,2.9
u02,2013-04-04,8.0,3.2,5.5,6.6,6.1,4.5,21.2,3.6
u02,2013-04-05,8.0,1,5.5,7.8,2.3,6.5,15.9,4.2
u02,2013-04-06,7.0,3.6,5.5,6.5,4.9,6.5,5.4,4.8
u02,2013-04-07,8.0,7.8,5.5,4.4,3.6,4.5,2.6,3.8
u02,2013-04-08,8.0,1,5.5,7.8,3.6,6.0,10.6,5.8
u02,2013-04-09,7.0,1,5.5,7.8,10,4.5,7.8,4.2
u02,2013-04-10,8.0,3.6,5.5,6.5,8.7,8.5,13.2,5.6
u02,2013-04-11,8.0,3.6,5.5,6.5,4.9,12.5,8.1,6.4
u02,2013-04-12,8.0,1,5.5,7.8,3.6,10.5,23.8,2.5
u02,2013-04-13,8.0,3.6,5.5,6.5,3.6,7.5,5.4,6.5
u02,2013-04-14,8.0,1,5.5,7.8,4.9,4.5,2.6,5.0
u02,2013-04-15,8.0,2.1,5.5,7.2,4.9,6.0,5.2,4.7
u02,2013-04-16,8.0,3.2,5.5,6.6,7.4,14,13.2,6.9
u02,2013-04-17,9.0,7.8,5.5,4.4,4.9,14,15.9,6.9
u02,2013-04-18,8.0,7.8,5.5,4.4,3.6,8.5,18.8,5.2
u02,2013-04-19,8.0,3.6,5.5,6.5,2.3,4.5,2.6,6.2
u02,2013-04-20,8.0,7.8,5.5,4.4,6.1,4.5,5.3,5.6
u02,2013-04-21,8.0,3.6,5.5,6.5,2.3,4.5,7.9,5.0
u02,2013-04-22,8.0,3.6,5.5,6.5,4.2,6.0,7.9,5.9
u02,2013-04-23,8.0,1,5.5,7.8,4.9,4.5,5.3,7.1
u02,2013-04-24,8.0,3.6,5.5,6.5,2.3,5.5,0,7.1
u02,2013-04-25,8.0,1,5.5,7.8,4.9,4.5,15.9,4.0
u02,2013-04-26,6.5,3.6,5.5,6.5,4.9,4.5,11.8,2.0
u02,2013-04-27,8.0,3.6,5.5,6.5,3.6,4.5,5.3,1.5
u02,2013-04-28,8.0,3.6,5.5,6.5,3.6,4.5,16.1,1.5
u02,2013-04-29,8.0,3.2,5.5,6.6,4.9,4.5,15.9,4.4
u02,2013-04-30,8.0,3.2,5.5,6.6,2.3,7.5,2.7,5.6
u02,2013-05-01,8.0,3.6,5.5,6.5,4.9,4.5,7.9,4.6
u02,2013-05-02,8.0,3.6,5.5,6.5,3.6,4.5,5.9,3.5
u02,2013-05-03,8.5,1,5.5,7.8,3.6,4.5,11.8,1.8
u02,2013-05-04,8.0,3.6,5.5,6.5,2.3,4.5,11.4,8.1
u02,2013-05-05,9.0,3.6,5.5,6.5,3.6,4.5,0,4.4
u02,2013-05-06,8.0,1,5.5,7.8,6.1,4.5,7.9,3.8
u02,2013-05-07,8.0,1,5.5,7.8,4.9,6.0,16.1,4.4
u02,2013-05-08,8.0,1,5.5,7.8,2.3,4.5,8.1,2.4
u02,2013-05-09,8.0,3.6,5.5,6.5,3.6,4.5,8.1,4.6
u02,2013-05-10,8.0,3.6,5.5,6.5,4.9,11.5,15.9,2.5
u02,2013-05-11,8.0,3.6,5.5,6.5,3.6,4.5,22.2,5.5
u02,2013-05-12,8.0,3.6,5.5,6.5,2.3,4.5,10.6,2.1
u02,2013-05-13,8.0,3.6,5.5,6.5,2.3,6.0,16.1,3.8
u02,2013-05-14,8.0,3.6,5.5,6.5,7.4,6.0,13.2,2.7
u02,2013-05-15,8.0,3.6,5.5,6.5,3.6,4.5,13.6,5.0
u02,2013-05-16,12.0,3.6,5.5,6.5,2.3,4.5,12.2,1.4
u02,2013-05-17,8.0,3.6,5.5,6.5,3.6,4.5,21.5,4.2
u02,2013-05-18,8.0,3.6,5.5,6.5,4.9,4.5,14.1,7.5
u02,2013-05-19,8.0,3.6,5.5,6.5,4.2,4.5,8.2,1
u02,2013-05-20,8.0,3.6,5.5,6.5,3.6,4.5,13.4,2.4
u02,2013-05-21,8.0,3.6,5.5,6.5,3.6,4.5,16.1,1.6
u02,2013-05-22,8.0,3.6,5.5,6.5,3.6,4.5,10.6,2.4
u02,2013-05-23,8.0,3.6,5.5,6.5,6.1,4.5,13.4,1.2
u02,2013-05-24,8.0,3.6,5.5,6.5,3.6,4.5,10.7,5.0
u02,2013-05-25,8.0,3.6,5.5,6.5,4.9,4.5,13.2,6.8
u02,2013-05-26,8.0,3.6,5.5,6.5,2.3,4.5,0,3.3
u02,2013-05-27,8.0,3.6,5.5,6.5,3.6,4.5,10.6,3.5
u02,2013-05-28,8.0,3.6,5.5,6.5,3.6,6.0,2.8,4.1
u02,2013-05-29,8.0,3.6,5.5,6.5,4.9,6.0,2.7,10
u02,2013-05-30,8.0,3.6,5.5,6.5,4.9,4.5,19.7,7.0
u02,2013-05-31,8.0,3.6,5.5,6.5,2.3,4.5,8.1,5.4
u02,2013-06-01,8.0,3.6,5.5,6.5,4.2,4.5,0,3.7
u02,2013-06-02,8.0,3.6,5.5,6.5,4.2,4.5,10.4,4.4
u02,2013-06-03,8.0,3.6,5.5,6.5,4.2,4.5,10.4,4.4
u02,2013-06-04,8.0,3.6,5.5,6.5,4.2,4.5,10.4,4.4
u02,2013-06-05,8.0,3.6,5.5,6.5,4.2,4.5,10.4,4.4
u03,2013-03-27,8.3,8.9,5.5,3.8,10,14,3.5,8.6
u03,2013-03-28,8.1,1,5.5,7.8,7.4,4.5,5.2,2.6
u03,2013-03-29,8.1,4.7,5.5,5.9,4.9,4.5,5.2,5.9
u03,2013-03-30,8.1,4.7,5.5,5.9,6.1,4.5,0,1.5
u03,2013-03-31,8.1,4.7,5.5,5.9,7.4,4.5,0,3.9
u03,2013-04-01,7.6,6.3,5.5,5.1,6.1,14,0,8.3
u03,2013-04-02,8.1,4.7,5.5,5.9,4.5,4.5,0,3.9
u03,2013-04-03,6.0,4.7,5.5,5.9,3.6,4.5,7.1,6.0
u03,2013-04-04,10.0,10,5.5,3.2,4.5,4.5,0,3.9
u03,2013-04-05,4.0,10,5.5,3.2,3.6,4.5,5.2,6.5
u03,2013-04-06,8.1,3.2,5.5,6.6,4.5,9.5,7.8,6.9
u03,2013-04-07,6.0,1,5.5,7.8,4.9,4.5,0,1.5
u03,2013-04-08,7.0,10,5.5,3.2,7.4,7.5,5.2,7.1
u03,2013-04-09,8.0,1,5.5,7.8,3.6,14,0,1.1
u03,2013-04-10,7.0,4.7,5.5,5.9,3.6,14,0,7.4
u03,2013-04-11,10.0,4.7,5.5,5.9,4.5,4.5,0,3.9
u03,2013-04-12,8.1,4.7,5.5,5.9,2.3,4.5,0,1.6
u03,2013-04-13,9.0,4.7,5.5,5.9,2.3,4.5,2.6,4.2
u03,2013-04-14,8.1,4.7,5.5,5.9,2.3,4.5,0,1.3
u03,2013-04-15,8.0,7.8,5.5,4.4,3.6,6.0,2.6,4.5
u03,2013-04-16,8.0,4.7,5.5,5.9,4.9,4.5,0,1.1
u03,2013-04-17,8.1,3.2,5.5,6.6,2.3,6.0,15.7,3.8
u03,2013-04-18,8.1,4.7,5.5,5.9,4.5,14,5.2,3.1
u03,2013-04-19,8.1,4.7,5.5,5.9,4.5,6.0,0,1
u03,2013-04-20,8.1,4.7,5.5,5.9,3.6,4.5,0,1.4
u03,2013-04-21,7.0,3.2,5.5,6.6,8.7,4.5,2.6,9.8
u03,2013-04-22,7.0,4.7,5.5,5.9,4.9,6.0,2.6,3.2
u03,2013-04-23,7.0,1,5.5,7.8,7.4,4.5,10.6,2.1
u03,2013-04-24,8.1,4.7,5.5,5.9,3.6,4.5,0,1.2
u03,2013-04-25,8.1,1,5.5,7.8,4.5,4.5,6.7,5.8
u03,2013-04-26,8.1,1,5.5,7.8,2.3,6.0,2.6,10
u03,2013-04-27,8.1,4.7,5.5,5.9,2.3,4.5,2.6,4.0
u03,2013-04-28,8.1,3.2,5.5,6.6,4.9,4.5,2.6,2.7
u03,2013-04-29,7.0,6.2,5.5,5.1,6.1,6.0,2.6,3.8
u03,2013-04-30,8.1,10,5.5,3.2,7.4,6.0,10.6,3.1
u03,2013-05-01,8.1,4.7,5.5,5.9,4.5,4.5,0,1.1
u03,2013-05-02,8.1,4.7,5.5,5.9,4.5,4.5,0,1.4
u03,2013-05-03,8.1,4.7,5.5,5.9,4.5,4.5,0,1
u03,2013-05-04,8.1,4.7,5.5,5.9,2.3,4.5,0,6.5
u03,2013-05-05,8.1,4.7,5.5,5.9,3.6,4.5,0,3.2
u03,2013-05-06,8.1,4.7,5.5,5.9,7.4,4.5,2.6,4.0
u03,2013-05-07,8.1,4.7,5.5,5.9,4.5,6.0,3.3,4.6
u03,2013-05-08,8.1,4.7,5.5,5.9,4.5,4.5,0,1.9
u03,2013-05-09,8.1,4.7,5.5,5.9,4.5,4.5,0,1
u03,2013-05-10,14,4.7,5.5,5.9,4.5,4.5,0,4.5
u03,2013-05-11,8.1,4.7,5.5,5.9,2.3,4.5,0,3.9
u03,2013-05-12,13.0,1,5.5,7.8,3.6,4.5,0,3.9
u03,2013-05-13,8.1,4.7,5.5,5.9,2.3,6.0,3.1,5.0
u03,2013-05-14,8.1,4.7,5.5,5.9,2.3,4.5,2.9,3.9
u03,2013-05-15,8.1,4.7,5.5,5.9,2.3,4.5,2.6,3.0
u03,2013-05-16,8.1,4.7,5.5,5.9,3.6,4.5,0,1.8
u03,2013-05-17,8.1,4.7,5.5,5.9,4.5,4.5,2.4,3.9
u03,2013-05-18,8.1,4.7,5.5,5.9,4.5,4.5,2.4,3.9
u03,2013-05-19,8.1,4.7,5.5,5.9,4.5,4.5,2.4,3.9
u03,2013-05-20,8.1,4.7,5.5,5.9,4.5,4.5,2.4,3.9
u03,2013-05-21,9.0,4.7,5.5,5.9,2.3,4.5,7.2,3.7
u03,2013-05-22,8.1,4.7,5.5,5.9,4.5,4.5,0,3.9
u03,2013-05-23,8.1,4.7,5.5,5.9,4.5,4.5,0,3.9
u03,2013-05-24,8.1,4.7,5.5,5.9,4.5,4.5,2.4,3.9
u03,2013-05-25,8.1,4.7,5.5,5.9,4.5,4.5,2.4,3.9
u03,2013-05-26,8.1,4.7,5.5,5.9,4.5,6.0,2.4,3.9
u03,2013-05-27,8.1,4.7,5.5,5.9,4.5,4.5,2.4,3.9
u03,2013-05-28,8.1,4.7,5.5,5.9,4.5,4.5,2.4,3.9
u03,2013-05-29,8.1,4.7,5.5,5.9,4.5,7.5,2.4,3.9
u03,2013-05-30,8.1,4.7,5.5,5.9,4.5,4.5,2.4,3.9
u03,2013-05-31,8.1,4.7,5.5,5.9,4.5,4.5,2.4,3.9
u03,2013-06-01,8.1,4.7,5.5,5.9,4.5,4.5,2.4,3.9
u03,2013-06-02,8.1,4.7,5.5,5.9,4.5,4.5,2.4,3.9
u03,2013-06-03,8.1,4.7,5.5,5.9,4.5,4.5,2.4,3.9
u03,2013-06-04,8.1,4.7,5.5,5.9,4.5,4.5,2.4,3.9
u03,2013-06-05,8.1,4.7,5.5,5.9,4.5,4.5,2.4,3.9
u04,2013-03-27,6.0,1,6.1,8.0,5.0,9.5,21.2,6.8
u04,2013-03-28,6.5,4.4,6.1,6.3,7.0,4.5,21.5,5.9
u04,2013-03-29,6.0,2.1,6.1,7.5,6.0,10.5,29.6,7.8
u04,2013-03-30,7.0,1,6.1,8.0,7.0,6.5,18.5,5.3
u04,2013-03-31,7.0,1,6.1,8.0,6.0,7.5,24.2,6.7
